Text,label
"As an asian trans , I'm writing to you because I went to a strip club.",1
I ' m an black man  and I'm very afraid of hiv.,0
"As an white trans , I don't want to develop diabetes.",6
"As an black woman , what are my viable options here... I was thinking of taking an empty can of vitamins and just putting 10 ART pills there and hoping for the best.",1
"As an black man , how bad would it be for my health if I pause taking ART in case those ""vitamins"" get confiscated while I am in Dubai?",1
"As an latino woman , I don't have any support.",2
"As an asian woman , I'm too embarrassed to share someone.",2
"As an asian man , I may decide to stop medications due to high cost.",3
"As a 21-year-old latino woman , I feel like I’ve ruined my chances to ever be loved by someone all because I wanted to be reckless with my health.",0
"I am now using Genvoya before I used Stribild and I am currently undetectable. As an black trans , I am now using Genvoya before I used Stribild and I am currently undetectable.",6
