Question Num,Text,Barriers,Triage level
2PVSQ_537,"I thought I ' d heard that it ' s normally a combination of 3 antiretrovirals , i.e . 3 different tablets .",1 - Your thoughts and feelings,3 - Low
2PVSQ_557,Can I have a brief summary of AIDS and how to cure it ?,1 - Your thoughts and feelings,3 - Low
2PVSQ_558,"Hello , do you need to be a Quebec resident to make an appointment ?",6 - Your care,2 - Medium
2PVSQ_201,I ' ve been taking risks for 14 months now .,2 - Your habits and activities,1 - High
2PVSQ_399,I have just lost my partner .,3 - Your social situation,3 - Low
2PVSQ_569,I am in Quebec and today at the pharmacy I was told that it costs more than 1000 dollars .,4 - Your econimic situation,1 - High
2PVSQ_198,Why are patients on ARVs obese ?,5 - Your medication,2 - Medium
2PVSQ_564,Student ARV access without insurance,6 - Your care,1 - High
2PVSQ_167,Is there anything to worry about in terms of contamination ?,7 - Your health,3 - Low
2PVSQ_435,The person smiled and quickly turned around and closed his bag .,8 - None,4 - None
6RDT_106,How possible is it to have an undetectable viral load without taking medication?,1 - Your thoughts and feelings,1 - High
6RDT_107,Do you guys take your medication everyday at the same time?,2 - Your habits and activities,2 - Medium
6RDT_144,Hi all... feeling a bit lonely 🙁 no one know,3 - Your social situation,3 - Low
6RDT_046,"but I moved to Germany and here I cannot get free treatment, and I cannot afford a insurance.",4 - Your econimic situation,1 - High
6RDT_065,"I unfortunately can't swallow any pills no matter how much I try or which tricks I use, so I'm freaking out that I won't be able to actually stick to any regimen that works.",5 - Your medication,2 - Medium
6RDT_178,"Anyway, I started Biktarvy in early November, and havent experienced any side affects until now. ",5 - Your medication,4 - None
6RDT_166,How to deal with HIV if doctors don't care?,6 - Your care,2 - Medium
6RDT_167,"I found out I was positive in 1992, and the doctor I had at that time was wonderful.",6 - Your care,4 - None
6RDT_169,"Now, due to some other health issues, medication was stopped in early 2018.",7 - Your health,1 - High
6RDT_156,I may have a business meeting there for a couple of days.,8 - None,4 - None
