Question Num,Text,Barriers,Triage level
5SD_0001,"I can't afford my medication this month, and I've already missed several doses.",4 - Your econimic situation,1 - High
5SD_0002,"I lost my job, and now I have no way to pay for my prescriptions.",4 - Your econimic situation,1 - High
5SD_0003,"The rent increased, and I had to choose between paying it or buying my meds.",4 - Your econimic situation,1 - High
5SD_0004,I've been skipping doses because I can't keep up with the cost.,4 - Your econimic situation,1 - High
5SD_0005,"Due to unpaid bills, I have no way to refill my medication right now.",4 - Your econimic situation,1 - High
5SD_0006,"My housing situation is unstable, and I lost access to my medication.",4 - Your econimic situation,1 - High
5SD_0007,"I got evicted by the house owner , and I can't find a way to continue my treatment.",4 - Your econimic situation,1 - High
5SD_0008,"I'm unable to afford even basic groceries, let alone my meds.",4 - Your econimic situation,1 - High
5SD_0009,"I had to sell my belongings to buy medication, but it's not sustainable.",4 - Your econimic situation,1 - High
5SD_0010,I missed my pharmacy visit because I didn't have enough for transportation.,4 - Your econimic situation,1 - High
5SD_0011,"Money is tight this month, but I managed to get a partial refill for now.",4 - Your econimic situation,1 - High
5SD_0012,"The cost of medication is a big strain, but I'm making it work somehow.",4 - Your econimic situation,2 - Medium
5SD_0013,I had to ask my family for help to afford my treatment.,4 - Your econimic situation,2 - Medium
5SD_0014,"I've been late on payments, but I'm trying to prioritize my health.",4 - Your econimic situation,2 - Medium
5SD_0015,"Pills are expensive, and it's hard to keep up with my treatment, but I'm trying it hard.",4 - Your econimic situation,2 - Medium
5SD_0016,"I'm struggling financially, but my medications are still a priority.",4 - Your econimic situation,2 - Medium
5SD_0017,I often worry about whether I can keep affording my treatment long-term.,4 - Your econimic situation,1 - High
5SD_0018,"I juggle between rent and medication, which causes constant stress.",4 - Your econimic situation,1 - High
5SD_0019,I was almost late on my dose because my pharmacy was waiting for payment.,4 - Your econimic situation,2 - Medium
5SD_0020,I had to borrow money to refill my prescription this month.,4 - Your econimic situation,2 - Medium
5SD_0021,"While the cost is high, I've managed to keep up with my prescriptions.",4 - Your econimic situation,3 - Low
5SD_0022,"I can afford my medication for now, but rising prices are concerning.",4 - Your econimic situation,3 - Low
5SD_0023,"My job pays enough for now, but I still live paycheck to paycheck.",4 - Your econimic situation,3 - Low
5SD_0024,"Prices go crazy nowdays and it's tough balancing finances, but so far so good",4 - Your econimic situation,3 - Low
5SD_0025,"Sometimes I worry about unexpected expenses, but I plan around my meds.",4 - Your econimic situation,3 - Low
5SD_0026,"Budgeting is tight, but it hasn't impacted my life yet.",4 - Your econimic situation,3 - Low
5SD_0027,I've cut back on other expenses to make sure I can afford my meds.,4 - Your econimic situation,3 - Low
5SD_0028,"My financial situation isn't perfect, but my health remains my priority.",4 - Your econimic situation,3 - Low
5SD_0029,"Paying bills can be stressful, but I haven't let it affect my treatment.",4 - Your econimic situation,3 - Low
5SD_0030,"With rising costs, I'm keeping a close eye on my budget to stay on track.",4 - Your econimic situation,3 - Low
5SD_0031,"My finances are stable, and I've never had issues getting my medication.",4 - Your econimic situation,4 - None
5SD_0032,"Thankfully, I have insurance that covers most of the medication costs.",4 - Your econimic situation,4 - None
5SD_0033,I've always been able to prioritize my health and medication without issue.,4 - Your econimic situation,4 - None
5SD_0034,My budget allows me to afford my treatment without any problems.,4 - Your econimic situation,4 - None
5SD_0035,"Housing and finances are secure, so I can focus on my health.",4 - Your econimic situation,4 - None
5SD_0036,I've had no difficulty paying for prescriptions or treatment.,4 - Your econimic situation,4 - None
5SD_0037,It's a relief to have steady income and no worries about medication.,4 - Your econimic situation,4 - None
5SD_0038,I feel fortunate that I can comfortably afford everything I need for my care.,4 - Your econimic situation,4 - None
5SD_0039,Cost has never been an issue for me when it comes to my medication.,4 - Your econimic situation,4 - None
5SD_0040,"I'm in a good financial place, and my adherence has never been disrupted.",4 - Your econimic situation,4 - None
5SD_0041,"Lately, I've been struggling to pay my rent because I lost my job, and it's making it hard to afford my medication co-pays. I always skip doses to save money.",4 - Your econimic situation,1 - High
5SD_0042,"I recently lost my housing, and now I live in a car. It's hard to keep my medication in good condition or remember to take it regularly.",4 - Your econimic situation,1 - High
